year,hhid,plot_area,sr_yield,cc_yield,,
2,2719,0.043898,453.3575,479.5135,,
1,2719,0.027836,1857.873,607.9506,,
1,2720,0.0258,7158.931,638.7393,,
2,2720,0.15205,768.9667,822.5696,,
2,2803,0.04211,560.0672,92.96272,,
1,2803,0.07391,2994.926,579.4296,,
1,2805,0.7602,4945.924,3919.451,,
2,2805,0.92734,1956.696,1933.672,,
2,2807,0.036836,644.1827,146.8215,,
1,2807,0.052032,300.8299,120.9864,,
1,2808,0.021531,0,549.3046,,
2,2808,0.10236,208.4202,385.4922,,
2,2809,0.70602,35.73368,356.1437,,
1,2809,0.38382,990.2452,587.0801,,
1,2810,0.033342,957.1821,690.7546,,
2,2810,0.18614,667.631,751.2455,,
2,2811,0.30501,491.3548,446.5045,,
1,2811,0.060399,1317.282,1409.582,,
1,2819,0.087626,585.9249,132.9131,,
2,2819,0.14065,339.712,870.824,,
1,2821,0.017866,5136.148,658.9756,,
2,2821,0.060459,80.2434,285.3084,,
2,2822,0.056149,341.8524,385.8084,,
1,2822,0.055024,756.9465,190.4489,,
2,2906,0.053458,1256.332,1489.223,,
1,2906,0.013157,3640.548,1115.102,,
2,2907,0.29615,148.647,195.9614,,
1,2907,0.298,946.3558,971.9619,,
2,2908,0.1854,212.6842,244.9472,,
1,2908,0.030416,9537.2,876.6608,,
2,2911,0.040455,1844.111,1636.772,,
1,2911,0.017753,1904.399,2222.385,,
2,2912,0.22465,948.2742,824.3716,,
1,2912,0.055584,362.0597,293.2307,,
2,2913,0.056866,554.829,889.7285,,
1,2913,0.012493,3974.107,3771.513,,
2,2915,0.31456,21.20726,374.9023,,
1,2915,0.088293,2540.871,983.8295,,
2,2916,0.11683,1443.349,1059.543,,
1,2916,0.010975,436.958,1111.046,,
1,2919,0.070918,2113.571,1493.603,,
2,2919,0.2023,294.1966,686.2729,,
2,2920,0.11776,148.4845,375.4972,,
1,2920,0.047071,1284.291,1165.702,,
2,3001,0.12659,253.447,587.91,,
1,3001,0.073827,1455.268,1602.834,,
